milestone	id	ledger_status	production_class	owning_production_task	current_evidence
M1	M1-16	Complete	production-available	T04-discovery-worker	production evidence: Neo4j GraphStore; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-17	Complete	production-available	PROD-current-composition	audited shipped composition: audit emitter contract
M1	M1-18	Complete	production-available	PROD-current-composition	audited shipped composition: feature flag contract
M1	M1-19	Complete	production-available	PROD-current-composition	audited shipped composition: analytics contract
M1	M1-20	Complete	production-available	PROD-current-composition	audited shipped composition: AI gateway contract
M1	M1-21	Complete	production-available	PROD-current-composition	audited shipped composition: observability contract
M1	M1-22	Complete	production-available	T04-discovery-worker	production evidence: event envelope; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-23	Complete	production-available	PROD-current-composition	audited shipped composition: OpenAPI root
M1	M1-24	Complete	production-available	PROD-current-composition	audited shipped composition: generated TS client
M1	M1-25	Complete	production-available	PROD-current-composition	audited shipped composition: UI API map seed
M1	M1-26	Complete	production-available	PROD-current-composition	audited shipped composition: UI API coverage CI
M1	M1-27	Complete	production-available	PROD-current-composition	audited shipped composition: raw fetch lint
M1	M1-28a	Complete	production-available	PROD-current-composition	audited shipped composition: shared health handler
M1	M1-28b	Complete	production-available	PROD-current-composition	audited shipped composition: platform health wiring
M1	M1-28c	Complete	production-available	T06-runtime-data-plane	production evidence: ingest health wiring; verified by Task 6 source/deploy review and focused race/release gates
M1	M1-28d	Complete	production-available	T06-runtime-data-plane	production evidence: gateway health wiring; verified by Task 6 source/deploy review and focused race/release gates
M1	M1-28	Complete	production-available	PROD-current-composition	audited shipped composition: service health endpoints
M1	M1-29	Complete	production-available	PROD-current-composition	audited shipped composition: system health aggregator model
M1	M1-30a	Complete	component-only	T04-discovery-worker	audited component-only proof: local product manifests
M1	M1-30b	Complete	component-only	T04-discovery-worker	audited component-only proof: local graph manifest
M1	M1-30c	Complete	component-only	T04-discovery-worker	audited component-only proof: local observability manifest
M1	M1-30d	Complete	component-only	T04-discovery-worker	audited component-only proof: local AWS emulator manifest
M1	M1-30	Complete	component-only	T04-discovery-worker	audited component-only proof: local dev manifests
M1	M1-31	Complete	component-only	T04-discovery-worker	audited component-only proof: LocalStack client factory
M1	M1-32	Complete	production-available	T04-discovery-worker	production evidence: OpenSearch index template; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-33	Complete	production-available	T04-discovery-worker	production evidence: SQS queue definitions; verified by Task 4 source/deploy review and focused race/release gates
M1	M1-34	Complete	component-only	T04-discovery-worker	audited component-only proof: S3 bucket layout
M1	M1-35	Complete	production-available	PROD-current-composition	audited shipped composition: base web shell
M1	M1-36a	Complete	production-available	PROD-current-composition	audited shipped composition: M1 build check
M1	M1-36b	Complete	production-available	PROD-current-composition	audited shipped composition: M1 schema check
M1	M1-36c	Complete	production-available	PROD-current-composition	audited shipped composition: M1 OpenAPI check
M1	M1-36d	Complete	production-available	PROD-current-composition	audited shipped composition: M1 UI API coverage check
M1	M1-36e	Complete	component-only	T04-discovery-worker	audited component-only proof: M1 local infrastructure smoke
M1	M1-37	Complete	production-available	PROD-current-composition	audited shipped composition: deployment mode config
M1	M1-38	Complete	production-available	PROD-current-composition	audited shipped composition: Neon Organization scope guard
M1	M1-39	Complete	production-available	PROD-current-composition	audited shipped composition: OpenSearch Organization scope guard
M1	M1-40	Complete	production-available	PROD-current-composition	audited shipped composition: S3 Organization artifact prefix
M1	M1-41	Complete	production-available	PROD-current-composition	audited shipped composition: SQS Organization envelope guard
M1	M1-42	Complete	production-available	PROD-current-composition	audited shipped composition: graph Organization scope guard
M1	M1-43	Complete	production-available	PROD-current-composition	audited shipped composition: tenant quota primitive
M1	M1-44	Complete	production-available	PROD-current-composition	audited shipped composition: SaaS tenancy foundation check
M1	M1-45a	Complete	production-available	PROD-current-composition	audited shipped composition: Neon tenant context helper
M1	M1-45b	Complete	production-available	PROD-current-composition	audited shipped composition: Neon RLS core identity/policy tables
M1	M1-45c	Complete	production-available	PROD-current-composition	audited shipped composition: Neon RLS security workflow tables
M1	M1-45d	Complete	production-available	PROD-current-composition	audited shipped composition: Neon RLS migration rollback
M1	M1-45	Complete	production-available	PROD-current-composition	audited shipped composition: Neon tenant isolation gate
M1	M1-36	Complete	production-available	PROD-current-composition	audited shipped composition: M1 gate
M1A	M1A-01	Complete	component-only	T15-deployment	audited component-only proof: staging VPC module
M1A	M1A-02	Complete	component-only	T15-deployment	audited component-only proof: staging EKS module
M1A	M1A-03	Complete	component-only	T15-deployment	audited component-only proof: staging S3 KMS Secrets
M1A	M1A-04	Complete	component-only	T15-deployment	audited component-only proof: staging SQS DLQ
M1A	M1A-05	Complete	component-only	T15-deployment	audited component-only proof: staging OpenSearch
M1A	M1A-06	Complete	component-only	T15-deployment	audited component-only proof: staging IAM IRSA
M1A	M1A-07	Blocked	blocked/external	EXT-cloud-deploy	audited external evidence gate: staging product stub deploy
M1A	M1A-08	Blocked	blocked/external	EXT-cloud-deploy	audited external evidence gate: staging AWS dependency smoke
M1A	M1A-09	Blocked	blocked/external	EXT-cloud-deploy	audited external evidence gate: staging deployment evidence
M1A	M1A-10	Blocked	blocked/external	EXT-cloud-deploy	audited external evidence gate: M1A gate
M2	M2-01	Complete	production-available	PROD-current-composition	audited shipped composition: Stytch adapter
M2	M2-02	Complete	production-available	PROD-current-composition	audited shipped composition: session middleware
M2	M2-02a	Complete	production-available	PROD-current-composition	audited shipped composition: fresh-auth guard
M2	M2-03	Complete	production-available	PROD-current-composition	audited shipped composition: principal reconciliation
M2	M2-04	Complete	production-available	PROD-current-composition	audited shipped composition: built-in roles
M2	M2-05a	Complete	production-available	PROD-current-composition	audited shipped composition: workspace grant store
M2	M2-05b	Complete	production-available	PROD-current-composition	audited shipped composition: workspace grant resolver
M2	M2-05	Complete	production-available	PROD-current-composition	audited shipped composition: workspace grant store
M2	M2-06	Complete	production-available	PROD-current-composition	audited shipped composition: authorization middleware
M2	M2-07	Complete	production-available	PROD-current-composition	audited shipped composition: organization reconciliation
M2	M2-07a	Complete	production-available	PROD-current-composition	audited shipped composition: first-Organization bootstrap command
M2	M2-07b	Complete	production-available	PROD-current-composition	audited shipped composition: first-Admin Stytch invitation
M2	M2-07c	Complete	production-available	PROD-current-composition	audited shipped composition: first-Admin default scope bootstrap
M2	M2-07d	Complete	production-available	PROD-current-composition	audited shipped composition: first-Admin bootstrap E2E
M2	M2-08	Complete	production-available	PROD-current-composition	audited shipped composition: API getOrganization
M2	M2-09	Complete	production-available	PROD-current-composition	audited shipped composition: API listWorkspaces
M2	M2-10	Complete	production-available	PROD-current-composition	audited shipped composition: API createWorkspace
M2	M2-11	Complete	production-available	PROD-current-composition	audited shipped composition: API getWorkspace
M2	M2-12	Complete	production-available	PROD-current-composition	audited shipped composition: API updateWorkspace
M2	M2-13	Complete	production-available	PROD-current-composition	audited shipped composition: API listEnvironments
M2	M2-14	Complete	production-available	PROD-current-composition	audited shipped composition: API createEnvironment
M2	M2-15	Complete	production-available	PROD-current-composition	audited shipped composition: API getEnvironment
M2	M2-16	Complete	production-available	PROD-current-composition	audited shipped composition: API updateEnvironment
M2	M2-17	Complete	production-available	PROD-current-composition	audited shipped composition: API getCurrentPrincipal
M2	M2-18	Complete	production-available	PROD-current-composition	audited shipped composition: API listMembers
M2	M2-19	Complete	production-available	PROD-current-composition	audited shipped composition: API listBuiltInRoles
M2	M2-20	Complete	component-only	T11-identity-admin	audited component-only proof: SSO service
M2	M2-21	Complete	component-only	T11-identity-admin	audited component-only proof: API listSSOConnections
M2	M2-22	Complete	component-only	T11-identity-admin	audited component-only proof: API createSSOConnection
M2	M2-23	Complete	component-only	T11-identity-admin	audited component-only proof: API deleteSSOConnection
M2	M2-24	Complete	component-only	T11-identity-admin	audited component-only proof: API testSSOConnection
M2	M2-25	Complete	component-only	T11-identity-admin	audited component-only proof: SCIM config service
M2	M2-26	Complete	component-only	T11-identity-admin	audited component-only proof: API listSCIMConnections
M2	M2-27	Complete	component-only	T11-identity-admin	audited component-only proof: API createSCIMConnection
M2	M2-28	Complete	component-only	T11-identity-admin	audited component-only proof: API deleteSCIMConnection
M2	M2-29	Complete	component-only	T11-identity-admin	audited component-only proof: Stytch webhook verifier
M2	M2-30	Complete	component-only	T11-identity-admin	audited component-only proof: Stytch deprovision reconciliation
M2	M2-31	Complete	component-only	T11-identity-admin	audited component-only proof: group mapping store
M2	M2-32	Complete	component-only	T11-identity-admin	audited component-only proof: API listGroupMappings
M2	M2-33	Complete	component-only	T11-identity-admin	audited component-only proof: API updateGroupMappings
M2	M2-34	Complete	production-available	PROD-current-composition	audited shipped composition: API token model
M2	M2-35	Complete	production-available	PROD-current-composition	audited shipped composition: API listAPITokens
M2	M2-36	Complete	production-available	PROD-current-composition	audited shipped composition: API createAPIToken
M2	M2-37	Complete	production-available	PROD-current-composition	audited shipped composition: API revokeAPIToken
M2	M2-38	Complete	production-available	PROD-current-composition	audited shipped composition: API token auth
M2	M2-39a	Complete	production-available	PROD-current-composition	audited shipped composition: audit event store
M2	M2-39b	Complete	production-available	PROD-current-composition	audited shipped composition: audit metadata redaction
M2	M2-39	Complete	production-available	PROD-current-composition	audited shipped composition: audit store
M2	M2-40	Complete	production-available	PROD-current-composition	audited shipped composition: API listAuditEvents
M2	M2-41	Complete	component-only	T11-identity-admin	audited component-only proof: API createAuditExport
M2	M2-42	Complete	component-only	T11-identity-admin	audited component-only proof: API getAuditExport
M2	M2-43a	Complete	production-available	PROD-current-composition	audited shipped composition: Identity route shell
M2	M2-43b	Complete	production-available	PROD-current-composition	audited shipped composition: Members and roles panel
M2	M2-43c	Complete	component-only	T11-identity-admin	audited component-only proof: SSO panel
M2	M2-43d	Complete	component-only	T11-identity-admin	audited component-only proof: SCIM panel
M2	M2-43e	Complete	component-only	T11-identity-admin	audited component-only proof: Group mapping panel
M2	M2-43	Complete	production-available	PROD-current-composition	audited shipped composition: identity admin UI shell
M2	M2-44	Complete	production-available	PROD-current-composition	audited shipped composition: identity admin actions
M2	M2-45	Complete	production-available	PROD-current-composition	audited shipped composition: API access UI
M2	M2-46a	Complete	production-available	PROD-current-composition	audited shipped composition: Workspace onboarding form
M2	M2-46b	Complete	production-available	PROD-current-composition	audited shipped composition: Environment onboarding form
M2	M2-46c	Complete	production-available	PROD-current-composition	audited shipped composition: Scope selector
M2	M2-46	Complete	production-available	PROD-current-composition	audited shipped composition: workspace/env onboarding UI
M2	M2-47a	Complete	component-only	T11-identity-admin	audited component-only proof: M2 SSO session E2E
M2	M2-47b	Complete	component-only	T11-identity-admin	audited component-only proof: M2 SCIM deprovision E2E
M2	M2-47c	Complete	production-available	PROD-current-composition	audited shipped composition: M2 workspace authorization E2E
M2	M2-47d	Complete	production-available	PROD-current-composition	audited shipped composition: M2 API token E2E
M2	M2-47e	Complete	production-available	PROD-current-composition	audited shipped composition: M2 audit E2E
M2	M2-48	Complete	production-available	PROD-current-composition	audited shipped composition: cross-Organization API authorization
M2	M2-49	Complete	production-available	PROD-current-composition	audited shipped composition: single-tenant Organization pin guard
M2	M2-50	Complete	production-available	PROD-current-composition	audited shipped composition: SaaS Organization isolation E2E
M2	M2-47	Complete	component-only	T11-identity-admin	audited component-only proof: M2 gate
M3	M3-01	Complete	production-available	PROD-current-composition	audited shipped composition: connector manifest
M3	M3-02	Complete	production-available	PROD-current-composition	audited shipped composition: connector catalog store
M3	M3-02a	Complete	production-available	PROD-current-composition	audited shipped composition: Generic Webhook catalog entry
M3	M3-03	Complete	production-available	PROD-current-composition	audited shipped composition: API listIntegrationCatalog
M3	M3-04	Complete	production-available	PROD-current-composition	audited shipped composition: API listIntegrations
M3	M3-05	Complete	production-available	PROD-current-composition	audited shipped composition: API createIntegration
M3	M3-06	Complete	production-available	PROD-current-composition	audited shipped composition: API getIntegration
M3	M3-07	Complete	production-available	PROD-current-composition	audited shipped composition: API updateIntegration
M3	M3-08	Complete	production-available	PROD-current-composition	audited shipped composition: API deleteIntegration
M3	M3-09	Complete	component-only	T03-launch-connectors	audited component-only proof: API authorizeIntegration
M3	M3-10	Complete	production-available	T04-discovery-worker	production evidence: API syncIntegration; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-11	Complete	production-available	T04-discovery-worker	production evidence: API listIntegrationSyncs; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-12	Complete	production-available	T04-discovery-worker	production evidence: API getIntegrationSync; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-13	Complete	production-available	T04-discovery-worker	production evidence: integration job payload; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-14	Blocked	blocked/external	EXT-live-aws	audited external evidence gate: AWS credential adapter
M3	M3-15	Complete	component-only	T04-discovery-worker	audited component-only proof: Cartography runner
M3	M3-16	Complete	component-only	T04-discovery-worker	audited component-only proof: Prowler runner
M3	M3-17	Complete	component-only	T04-discovery-worker	audited component-only proof: AWS normalization
M3	M3-18	Complete	component-only	T04-discovery-worker	audited component-only proof: Kubernetes normalization
M3	M3-19	Complete	component-only	T04-discovery-worker	audited component-only proof: GitHub normalization
M3	M3-20	Complete	component-only	T04-discovery-worker	audited component-only proof: IdP normalization
M3	M3-21	Complete	production-available	T04-discovery-worker	production evidence: integration freshness; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-22a	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango private deployment
M3	M3-22b	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango free feature boundary
M3	M3-22c	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango storage secrets
M3	M3-22	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango internal service config
M3	M3-23	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango connection adapter
M3	M3-24	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango auth callback
M3	M3-25	Complete	component-only	T03-launch-connectors	audited component-only proof: Nango proxy wrapper
M3	M3-26	Complete	production-available	T06-runtime-data-plane	production evidence: sensor enrollment model; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-27	Complete	production-available	T06-runtime-data-plane	production evidence: API listSensors; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-28	Complete	production-available	T06-runtime-data-plane	production evidence: API createSensorEnrollment; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-29	Complete	production-available	T06-runtime-data-plane	production evidence: API getSensor; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-30	Complete	production-available	T06-runtime-data-plane	production evidence: API updateSensor; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-31	Complete	production-available	T06-runtime-data-plane	production evidence: API deleteSensor; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-32	Complete	production-available	T06-runtime-data-plane	production evidence: API rotateSensorToken; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-33	Complete	production-available	T06-runtime-data-plane	production evidence: API getSensorCoverage; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-34	Complete	production-available	T06-runtime-data-plane	production evidence: sensor heartbeat internal API; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-35	Complete	production-available	T06-runtime-data-plane	production evidence: Tetragon packaging; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-36	Complete	production-available	T06-runtime-data-plane	production evidence: Tetragon adapter; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-37	Complete	production-available	T06-runtime-data-plane	production evidence: Tetragon sensor health; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-38	Complete	production-available	T06-runtime-data-plane	production evidence: OTLP semantic adapter; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-39	Complete	production-available	T06-runtime-data-plane	production evidence: event ingest auth; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-40	Complete	production-available	T06-runtime-data-plane	production evidence: event ingest filter; canonical metadata-only bytes bind reservation, digest, artifact, and downstream decode
M3	M3-41	Complete	production-available	T06-runtime-data-plane	production evidence: event batcher; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-42	Complete	component-only	T06-runtime-data-plane	audited component-only proof: ingest internal API
M3	M3-43a	Complete	production-available	T06-runtime-data-plane	production evidence: runtime batch consume; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-43b	Complete	production-available	T06-runtime-data-plane	production evidence: runtime event S3 archive; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-43c	Complete	production-available	T06-runtime-data-plane	production evidence: runtime event indexing; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-43d	Complete	component-only	T06-runtime-data-plane	audited component-only proof: runtime correlation update
M3	M3-43	Complete	component-only	T06-runtime-data-plane	audited component-only proof: runtime-event worker
M3	M3-44	Complete	production-available	T06-runtime-data-plane	production evidence: OpenSearch event indexer; verified by Task 6 source/deploy review and focused race/release gates
M3	M3-45	Complete	production-available	T04-discovery-worker	production evidence: correlation exact path; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-46	Complete	production-available	T04-discovery-worker	production evidence: correlation runtime path; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-47	Complete	production-available	T04-discovery-worker	production evidence: correlation ambiguity; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-48a	Complete	production-available	PROD-current-composition	audited shipped composition: Connection catalog route
M3	M3-48b	Complete	production-available	PROD-current-composition	audited shipped composition: Connection list route
M3	M3-48c1	Complete	production-available	PROD-current-composition	audited shipped composition: Connection detail summary
M3	M3-48c2	Complete	component-only	T10-product-ui	audited component-only proof: Connection detail data and history
M3	M3-48c3	Complete	component-only	T10-product-ui	audited component-only proof: Connection detail actions
M3	M3-48d	Complete	component-only	T10-product-ui	audited component-only proof: AWS setup wizard UI
M3	M3-48e	Complete	component-only	T10-product-ui	audited component-only proof: Kubernetes setup wizard UI
M3	M3-48f	Complete	component-only	T10-product-ui	audited component-only proof: GitHub setup wizard UI
M3	M3-48g	Complete	component-only	T10-product-ui	audited component-only proof: launch IdP setup wizard UI
M3	M3-48h	Complete	component-only	T10-product-ui	audited component-only proof: Generic Webhook setup UI
M3	M3-48	Complete	production-available	PROD-current-composition	audited shipped composition: Connections UI shell
M3	M3-49	Complete	component-only	T10-product-ui	audited component-only proof: Connections UI actions
M3	M3-50	Complete	component-only	T10-product-ui	audited component-only proof: Sensors UI shell
M3	M3-51	Complete	component-only	T10-product-ui	audited component-only proof: Sensors UI actions
M3	M3-52a	Complete	component-only	T04-discovery-worker	audited component-only proof: M3 connector E2E
M3	M3-52b	Complete	component-only	T06-runtime-data-plane	audited component-only proof: M3 sensor E2E
M3	M3-52c	Complete	component-only	T06-runtime-data-plane	audited component-only proof: M3 OTLP eBPF ingest E2E
M3	M3-52d	Complete	component-only	T04-discovery-worker	audited component-only proof: M3 queue index E2E
M3	M3-52e	Complete	production-available	T04-discovery-worker	production evidence: M3 freshness degrade E2E; verified by Task 4 source/deploy review and focused race/release gates
M3	M3-52	Blocked	blocked/external	EXT-human-observation	audited external evidence gate: M3 gate
M4	M4-01a	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves canonical AWS asset identity through public API and typed database authority
M4	M4-01b	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves Kubernetes Agent reconciliation through public API and installed browser
M4	M4-01c	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves GitHub Tool reconciliation through public API and installed browser
M4	M4-01d	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves Okta Identity reconciliation through public API and installed browser
M4	M4-01e	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves Kubernetes Runtime reconciliation through public API and installed browser
M4	M4-01f	Complete	production-available	T05-inventory-cutover	v14 complete-snapshot E2E proves canonical relationship projection with exact source and evidence bindings
M4	M4-01	Complete	production-available	T05-inventory-cutover	v14 cutover gate proves public typed inventory is derived only from authoritative complete snapshots
M4	M4-02	Complete	component-only	T05-inventory-cutover	audited component-only proof: agent ownership/tags
M4	M4-03	Complete	production-available	PROD-current-composition	audited shipped composition: API listAgents
M4	M4-04	Complete	production-available	PROD-current-composition	audited shipped composition: API getAgent
M4	M4-05	Complete	component-only	T05-inventory-cutover	audited component-only proof: API updateAgent
M4	M4-06	Complete	production-available	PROD-current-composition	audited shipped composition: API getAgentCapabilities
M4	M4-07	Complete	production-available	PROD-current-composition	audited shipped composition: API getAgentRelationships
M4	M4-08	Complete	production-available	PROD-current-composition	audited shipped composition: API listAgentSessions
M4	M4-09	Complete	production-available	PROD-current-composition	audited shipped composition: API listTools
M4	M4-10	Complete	production-available	PROD-current-composition	audited shipped composition: API getTool
M4	M4-11	Complete	production-available	PROD-current-composition	audited shipped composition: API listIdentities
M4	M4-12	Complete	production-available	PROD-current-composition	audited shipped composition: API getIdentity
M4	M4-13	Complete	production-available	PROD-current-composition	audited shipped composition: API listRuntimes
M4	M4-14	Complete	production-available	PROD-current-composition	audited shipped composition: API getRuntime
M4	M4-15	Complete	production-available	PROD-current-composition	audited shipped composition: API getAsset
M4	M4-16	Complete	component-only	T05-inventory-cutover	audited component-only proof: capability rule model
M4	M4-17	Complete	component-only	T05-inventory-cutover	audited component-only proof: capability graph query
M4	M4-18	Complete	component-only	T05-inventory-cutover	audited component-only proof: capability observed upgrade
M4	M4-19	Complete	component-only	T05-inventory-cutover	audited component-only proof: capability verified/blocked upgrade
M4	M4-20	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture ownerless agent
M4	M4-21	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture human credential
M4	M4-22	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture shared credential
M4	M4-23	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture untrusted write
M4	M4-24	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture shell credential
M4	M4-25	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture egress sensitive
M4	M4-26	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture unapproved tool
M4	M4-27	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture destructive no control
M4	M4-28	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture no runtime coverage
M4	M4-29	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture weak runtime isolation
M4	M4-30	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture cicd production secret
M4	M4-31	Complete	component-only	T05-inventory-cutover	audited component-only proof: posture zombie credential
M4	M4-32	Complete	component-only	T05-inventory-cutover	audited component-only proof: Prowler relevance filter
M4	M4-33	Complete	component-only	T05-inventory-cutover	audited component-only proof: finding risk factors
M4	M4-34	Complete	production-available	PROD-current-composition	audited shipped composition: API listFindings
M4	M4-35	Complete	production-available	PROD-current-composition	audited shipped composition: API getFinding
M4	M4-36	Complete	production-available	PROD-current-composition	audited shipped composition: API updateFinding
M4	M4-37	Complete	production-available	PROD-current-composition	audited shipped composition: API acceptFindingRisk
M4	M4-38	Complete	component-only	T14-data-workflows	audited component-only proof: API createFindingTicket
